mode: atomic
homework/models/responseError.go:7.40,9.2 1 1
homework/controllers/deviceHandler.go:15.52,19.2 1 14
homework/controllers/deviceHandler.go:21.73,24.21 2 3
homework/controllers/deviceHandler.go:24.21,29.3 4 1
homework/controllers/deviceHandler.go:31.2,32.16 2 2
homework/controllers/deviceHandler.go:32.16,37.3 4 1
homework/controllers/deviceHandler.go:39.2,40.39 2 1
homework/controllers/deviceHandler.go:43.72,45.16 2 4
homework/controllers/deviceHandler.go:45.16,50.3 4 0
homework/controllers/deviceHandler.go:51.2,53.16 3 4
homework/controllers/deviceHandler.go:53.16,58.3 4 1
homework/controllers/deviceHandler.go:60.2,62.20 2 3
homework/controllers/deviceHandler.go:62.20,67.3 4 1
homework/controllers/deviceHandler.go:69.2,70.16 2 2
homework/controllers/deviceHandler.go:70.16,75.3 4 1
homework/controllers/deviceHandler.go:77.2,77.30 1 1
homework/controllers/deviceHandler.go:80.72,83.21 2 3
homework/controllers/deviceHandler.go:83.21,88.3 4 1
homework/controllers/deviceHandler.go:90.2,91.16 2 2
homework/controllers/deviceHandler.go:91.16,96.3 4 1
homework/controllers/deviceHandler.go:97.2,97.30 1 1
homework/controllers/deviceHandler.go:100.72,102.16 2 4
homework/controllers/deviceHandler.go:102.16,107.3 4 0
homework/controllers/deviceHandler.go:108.2,110.16 3 4
homework/controllers/deviceHandler.go:110.16,115.3 4 1
homework/controllers/deviceHandler.go:117.2,119.20 2 3
homework/controllers/deviceHandler.go:119.20,124.3 4 1
homework/controllers/deviceHandler.go:126.2,127.16 2 2
homework/controllers/deviceHandler.go:127.16,132.3 4 1
homework/controllers/deviceHandler.go:133.2,133.30 1 1
homework/services/deviceServices.go:21.44,25.2 1 4
homework/services/deviceServices.go:28.63,30.2 1 1
homework/services/deviceServices.go:32.74,34.2 1 1
homework/services/deviceServices.go:36.62,38.2 1 1
homework/services/deviceServices.go:40.63,42.2 1 1
homework/services/deviceServices.go:44.60,45.23 1 5
homework/services/deviceServices.go:45.23,47.3 1 1
homework/services/deviceServices.go:49.2,49.19 1 4
homework/services/deviceServices.go:49.19,51.3 1 1
homework/services/deviceServices.go:53.2,53.36 1 3
homework/services/deviceServices.go:53.36,55.3 1 1
homework/services/deviceServices.go:57.2,57.12 1 2
homework/services/deviceServices.go:62.32,65.2 2 3
homework/repositories/deviceRepository.go:23.40,27.2 1 5
homework/repositories/deviceRepository.go:34.35,39.2 1 5
homework/repositories/deviceRepository.go:42.65,47.8 4 5
homework/repositories/deviceRepository.go:47.8,49.3 1 1
homework/repositories/deviceRepository.go:50.2,51.12 2 4
homework/repositories/deviceRepository.go:54.78,58.9 4 2
homework/repositories/deviceRepository.go:58.9,60.3 1 1
homework/repositories/deviceRepository.go:62.2,62.20 1 1
homework/repositories/deviceRepository.go:65.64,69.9 4 2
homework/repositories/deviceRepository.go:69.9,71.3 1 1
homework/repositories/deviceRepository.go:72.2,74.12 2 1
homework/repositories/deviceRepository.go:77.65,81.9 4 2
homework/repositories/deviceRepository.go:81.9,83.3 1 1
homework/repositories/deviceRepository.go:84.2,85.12 2 1
